transaction_id,sender_account,receiver_account,transaction_type,amount,timestamp,is_fraud,alert_id,customer_id,country,currency
19,382,8211,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_382,US,UNKNOWN
142,345,7253,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_345,US,UNKNOWN
524,7329,9960,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_7329,US,UNKNOWN
537,1226,6929,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_1226,US,UNKNOWN
637,4202,3406,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_4202,US,UNKNOWN
873,238,5697,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_238,US,UNKNOWN
886,7357,5550,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_7357,US,UNKNOWN
1013,5213,9510,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_5213,US,UNKNOWN
1018,3303,333,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_3303,US,UNKNOWN
1183,5252,7164,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_5252,US,UNKNOWN
1459,3386,9696,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_3386,US,UNKNOWN
1586,2204,8330,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_2204,US,UNKNOWN
1967,2232,9986,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_2232,US,UNKNOWN
2424,1399,8611,TRANSFER,0.0,1970-01-01 00:00:00,False,-1,C_1399,US,UNKNOWN
5060,1205,9510,TRANSFER,0.0,1970-01-01 00:00:01,False,-1,C_1205,US,UNKNOWN
6034,226,9800,TRANSFER,0.0,1970-01-01 00:00:01,False,-1,C_226,US,UNKNOWN
7452,377,9689,TRANSFER,0.0,1970-01-01 00:00:01,False,-1,C_377,US,UNKNOWN
63719,263,3324,TRANSFER,0.0,1970-01-01 00:00:10,False,-1,C_263,US,UNKNOWN
191707,345,7253,TRANSFER,0.0,1970-01-01 00:00:29,False,-1,C_345,US,UNKNOWN
