transaction_id,customer_id,recipient_id,amount,timestamp,transaction_type,country_origin,country_dest,ip_address,device_id,merchant_id,wallet_id,aml_pattern,is_flagged
TX_08194824,C_105707,C_788513,22141.66,2024-02-04T16:12:49,CASH,JP,FR,130.206.69.200,DEV_880188,,,NONE,0
TX_24972856,C_387334,C_494538,12172.71,2024-09-21T13:00:18,WIRE,FR,IN,67.46.145.8,DEV_315986,,,NONE,0
TX_62407709,C_422805,C_697728,40063.15,2024-03-08T06:20:49,SWIFT,DE,AU,219.178.235.65,DEV_235650,,,NONE,0
TX_99855264,C_600723,C_782178,43088.43,2024-04-17T09:00:38,ACH,AU,AE,168.254.151.67,DEV_947598,M_886667,,NONE,0
TX_37664933,C_676791,C_128716,794.45,2024-11-22T11:19:13,SWIFT,GB,FR,86.45.113.91,DEV_284835,,,SMURFING,1
TX_06564116,C_442637,C_939891,2797.69,2024-04-25T20:52:37,CRYPTO,SG,SG,15.2.231.71,DEV_275177,,W_810393,NONE,0
TX_14444057,C_843402,C_007283,37866.7,2024-01-06T11:12:29,ACH,NL,DE,117.172.222.228,DEV_619471,M_153009,,NONE,0
TX_98029205,C_387334,C_765018,18822.1,2024-05-22T08:52:47,WIRE,AE,AU,13.59.213.114,DEV_354166,,,NONE,0
TX_36626181,C_660677,C_112527,14207.07,2024-08-27T21:21:44,WIRE,GB,FR,76.82.20.141,DEV_429306,,,NONE,0
TX_98610571,C_925395,C_401028,22891.89,2024-09-07T05:39:15,CASH,AU,AU,81.218.59.25,DEV_880163,,,NONE,0
TX_89273314,C_123047,C_671609,34526.13,2024-04-15T13:40:04,CRYPTO,FR,JP,98.183.14.221,DEV_689191,,W_145861,NONE,0
TX_40237675,C_609103,C_474661,26003.07,2024-03-27T23:41:26,ACH,IN,GB,121.253.84.20,DEV_733255,M_886095,,NONE,0
TX_38045043,C_352249,C_500663,5221.9,2024-10-16T10:07:50,WIRE,JP,US,131.105.233.244,DEV_388837,,,NONE,0
TX_57340603,C_649389,C_011771,27429.76,2024-11-06T15:43:36,ACH,CA,GB,184.173.55.194,DEV_498574,M_619347,,NONE,0
TX_69145098,C_063646,C_181663,94294.19,2024-12-24T23:45:39,CRYPTO,SG,SY,226.196.214.251,DEV_662332,,,LAYERING,1
TX_85853752,C_618485,C_969563,34361.9,2024-08-30T09:39:48,ACH,AE,SG,192.146.216.207,DEV_013002,M_134564,,NONE,0
TX_79610725,C_553136,C_875277,5213.75,2024-11-12T03:16:27,CRYPTO,AE,NL,81.27.6.191,DEV_267889,,W_269399,NONE,0
TX_76756792,C_891036,C_102218,9430.13,2024-09-22T02:50:30,WIRE,SG,NL,2.169.238.182,DEV_909576,,,NONE,0
TX_83750759,C_355191,C_438632,8052.59,2024-01-27T11:27:02,SWIFT,NL,NL,244.243.4.30,DEV_649669,,,NONE,0
TX_63993529,C_463052,C_426300,25764.02,2024-10-26T05:31:39,ACH,NL,FR,55.217.53.53,DEV_579769,M_975626,,NONE,0
TX_71430075,C_252922,C_443310,45558.23,2024-11-15T02:02:49,CASH,JP,JP,185.32.23.180,DEV_835266,,,NONE,0
TX_29380127,C_147751,C_289869,14819.43,2024-11-05T17:05:43,SWIFT,AE,SG,3.72.63.11,DEV_055937,,,NONE,0
TX_93465128,C_387209,C_899452,33581.8,2024-02-14T12:21:34,CASH,IN,US,18.128.50.51,DEV_743161,,,NONE,0
TX_69346355,C_375889,C_377623,47937.08,2024-11-09T16:18:26,ACH,SG,US,28.89.41.216,DEV_288176,M_634474,,NONE,0
TX_78868572,C_498251,C_613858,27219.12,2024-08-02T05:13:43,ACH,NL,FR,247.84.71.115,DEV_155817,M_150302,,NONE,0
TX_90722265,C_546484,C_061962,23536.74,2024-05-20T07:06:24,CRYPTO,FR,US,230.39.128.97,DEV_924837,,W_755335,NONE,0
TX_80842521,C_303789,C_287442,8887.13,2024-05-20T16:09:45,CASH,GB,GB,42.210.11.63,DEV_051605,,,STRUCTURING,1
TX_19550762,C_298831,C_186781,30365.64,2024-03-25T02:47:49,CRYPTO,FR,FR,59.193.197.34,DEV_128541,,W_627345,NONE,0
TX_04607514,C_456442,C_653052,27010.37,2024-12-16T07:06:26,SWIFT,US,AE,206.246.195.90,DEV_577601,,,NONE,0
TX_42828417,C_030189,C_328414,26174.78,2024-01-03T18:18:28,SWIFT,NL,US,150.129.133.219,DEV_556932,,,NONE,0
TX_55154957,C_116761,C_746124,42764.45,2024-10-12T17:59:21,CASH,AE,GB,87.26.82.100,DEV_900194,,,NONE,0
TX_02003965,C_383719,C_408951,47291.22,2024-08-20T00:50:52,WIRE,SG,AE,201.118.86.173,DEV_020197,,,NONE,0
TX_33557002,C_926161,C_619524,17469.95,2024-08-05T03:19:08,SWIFT,AU,DE,28.37.150.88,DEV_989885,,,NONE,0
TX_69577944,C_560471,C_372784,24150.31,2024-11-30T18:38:21,WIRE,AU,GB,91.4.134.64,DEV_237351,,,NONE,0
TX_32517917,C_098599,C_226119,43649.85,2024-10-12T14:41:44,CASH,DE,DE,174.252.3.196,DEV_898338,,,NONE,0
TX_85217537,C_963502,C_038741,39983.57,2024-01-22T00:41:51,SWIFT,FR,NL,133.235.161.177,DEV_063138,,,NONE,0
TX_12293144,C_965738,C_115202,42730.87,2024-05-24T14:10:38,ACH,AU,FR,207.4.90.108,DEV_498577,M_243191,,NONE,0
TX_35536084,C_030990,C_358343,37255.2,2024-02-07T09:35:55,CRYPTO,AU,CA,73.181.166.173,DEV_574064,,W_665659,NONE,0
TX_98694649,C_455927,C_226248,11488.08,2024-03-03T21:56:40,ACH,CA,AE,187.120.128.241,DEV_772309,M_359410,,NONE,0
TX_40759160,C_806224,C_415103,15537.6,2024-12-09T21:11:27,CRYPTO,DE,AU,35.90.233.162,DEV_784659,,W_984895,NONE,0
TX_42034105,C_940255,C_099404,1445.9,2024-11-25T07:26:02,CASH,FR,NL,75.118.3.141,DEV_345317,,,SMURFING,1
TX_24279862,C_238315,C_114474,20703.9,2024-07-25T14:04:47,ACH,GB,SG,33.224.4.60,DEV_002474,M_319092,,NONE,0
TX_36007123,C_584877,C_817274,9690.4,2024-07-01T14:05:08,CASH,AU,JP,189.17.101.118,DEV_706239,,,NONE,0
TX_91775142,C_787963,C_240753,43196.52,2024-12-10T16:16:55,WIRE,DE,GB,63.4.21.149,DEV_745301,,,NONE,0
TX_06996067,C_546484,C_778416,24443.36,2024-02-11T16:57:46,CASH,CA,NL,92.68.128.231,DEV_075545,,,NONE,0
TX_53485815,C_986712,C_757863,27126.14,2024-04-24T19:52:08,ACH,FR,US,175.254.78.157,DEV_243060,M_630981,,NONE,0
TX_91011063,C_691670,C_360924,35095.57,2024-07-23T05:00:37,SWIFT,AU,US,228.40.239.206,DEV_637887,,,NONE,0
TX_06578025,C_387882,C_526174,9996.65,2024-10-08T15:05:32,CASH,DE,DE,28.183.234.180,DEV_681143,,,STRUCTURING,1
TX_43393374,C_145403,C_357349,12112.06,2024-05-05T14:46:51,SWIFT,NL,DE,1.17.145.153,DEV_018092,,,NONE,0
TX_37989555,C_420762,C_352803,17847.22,2024-01-15T15:43:40,CRYPTO,SG,AU,177.48.153.10,DEV_750073,,W_977718,NONE,0
